title,decade
The Aldrich Family,1940
The Family Genius,1940
The Goldbergs (broadcast series),1940
The Growing Paynes,1940
The Hartmans,1940
The Laytons,1940
The Life of Riley,1940
Mary Kay and Johnny,1940
The Morey Amsterdam Show,1940
The Ruggles,1940
Wesley (TV series),1940
This list may not reflect recent changes,1950
The Abbott and Costello Show,1950
The Adventures of Hiram Holliday,1950
The Adventures of Ozzie and Harriet,1950
The Adventures of Tugboat Annie,1950
The Aldrich Family,1950
Amos 'n' Andy,1950
The Ann Sothern Show,1950
Bachelor Father (American TV series),1950
The Betty Hutton Show,1950
Beulah (radio and TV series),1950
Blondie (1957 TV series),1950
The Bob Cummings Show,1950
Bonino (TV series),1950
Boss Lady,1950
The Brothers (1956 TV series),1950
The George Burns and Gracie Allen Show cast list,1950
Claudia (American TV series),1950
Colonel Humphrey Flack,1950
The Danny Thomas Show,1950
A Date with Judy,1950
A Date with Judy (TV series),1950
Date with the Angels,1950
Dear Phoebe,1950
December Bride,1950
The Dennis O'Keefe Show,1950
Dennis the Menace (1959 TV series),1950
Detective's Wife,1950
The Donald O'Connor Show,1950
List of The Donna Reed Show episodes,1950
The Donna Reed Show,1950
Duffy's Tavern,1950
The Duke (TV series),1950
The Ed Wynn Show (1958 TV series),1950
Ethel and Albert,1950
The Eve Arden Show,1950
Father Knows Best,1950
Fibber McGee and Molly,1950
The Gale Storm Show,1950
The George Burns and Gracie Allen Show,1950
The George Burns Show,1950
The Goldbergs (broadcast series),1950
The Great Gildersleeve,1950
The Halls of Ivy,1950
The Hank McCune Show,1950
Heaven for Betsy,1950
"Hey, Jeannie!",1950
"His Honor, Homer Bell",1950
The Honeymooners,1950
How to Marry a Millionaire (TV series),1950
I Love Lucy,1950
I Married Joan,1950
It's a Great Life (TV series),1950
It's Always Jan,1950
Jamie (TV series),1950
The Jeannie Carson Show,1950
Joe and Mabel,1950
Leave It to Beaver,1950
The Life of Riley,1950
Life with Elizabeth,1950
Life with Luigi,1950
Love and Marriage (1959 TV series),1950
Love That Jill,1950
The Lucy–Desi Comedy Hour,1950
Mama Rosa,1950
The Many Loves of Dobie Gillis,1950
Marge and Jeff,1950
The Marriage (TV series),1950
Mary Kay and Johnny,1950
Meet Corliss Archer (TV series),1950
Meet Millie,1950
Mr. Adams and Eve,1950
Mister Peepers,1950
The Morey Amsterdam Show,1950
My Favorite Husband,1950
My Friend Irma,1950
My Hero (American TV series),1950
My Little Margie,1950
My Son Jeep,1950
Norby (TV series),1950
Our Miss Brooks,1950
Peck's Bad Girl (TV series),1950
The People's Choice (TV series),1950
The Phil Silvers Show,1950
Private Secretary (TV series),1950
The Real McCoys,1950
The Red Buttons Show,1950
The Ruggles,1950
Sally (1957 TV series),1950
The Soldiers (American TV series),1950
Stanley (1956 TV series),1950
The Stu Erwin Show,1950
This Is Alice,1950
Topper (TV series),1950
Where's Raymond?,1950
Willy (TV series),1950
The World of Mr. Sweeney,1950
Young Mr. Bobbin,1950
90 Bristol Court,1960
Accidental Family,1960
The Addams Family (1964 TV series),1960
The Adventures of Ozzie and Harriet,1960
The Andy Griffith Show,1960
Angel (1960 TV series),1960
The Ann Sothern Show,1960
The Archie Show,1960
Bachelor Father (American TV series),1960
The Baileys of Balboa,1960
The Betty Hutton Show,1960
The Beverly Hillbillies,1960
Bewitched,1960
The Bill Dana Show,1960
The Bing Crosby Show (1964 TV series),1960
Blondie (1968 TV series),1960
The Brady Bunch,1960
Bringing Up Buddy,1960
Broadside (TV series),1960
Calvin and the Colonel,1960
Camp Runamuck,1960
Captain Nice,1960
"Car 54, Where Are You?",1960
The Cara Williams Show,1960
The Courtship of Eddie's Father,1960
The Danny Thomas Show,1960
The Debbie Reynolds Show,1960
The Dennis O'Keefe Show,1960
Dennis the Menace (1959 TV series),1960
The Dick Van Dyke Show,1960
Don't Call Me Charlie!,1960
List of The Donna Reed Show episodes,1960
The Donna Reed Show,1960
The Doris Day Show,1960
The Double Life of Henry Phyfe,1960
Ensign O'Toole,1960
F Troop,1960
Fair Exchange (TV series),1960
Family Affair,1960
The Farmer's Daughter (TV series),1960
Father Knows Best,1960
Father of the Bride (TV series),1960
Fibber McGee and Molly,1960
The Flintstones,1960
The Flying Nun,1960
The Gale Storm Show,1960
Get Smart,1960
The Ghost & Mrs. Muir (TV series),1960
Gidget (TV series),1960
Gilligan's Island,1960
Glynis (TV series),1960
"Gomer Pyle, U.S.M.C.",1960
The Good Guys (1968 TV series),1960
Good Morning World (American TV series),1960
The Governor & J.J.,1960
Green Acres,1960
Grindl,1960
"Guestward, Ho!",1960
Hank (1965 TV series),1960
Happy (1960 TV series),1960
Harrigan and Son,1960
Harris Against the World,1960
Harry's Girls,1960
The Hathaways,1960
Hazel (TV series),1960
He & She,1960
Here Come the Brides,1960
Here's Lucy,1960
The Hero (1966 TV series),1960
"Hey, Landlord",1960
Hogan's Heroes,1960
I Dream of Jeannie,1960
"I'm Dickens, He's Fenster",1960
Ichabod and Me,1960
It's About Time (TV series),1960
The Jean Arthur Show,1960
The Jetsons,1960
The Jim Backus Show,1960
The Joey Bishop Show (TV series),1960
Karen (1964 TV series),1960
Leave It to Beaver,1960
Love and Marriage (1959 TV series),1960
Love on a Rooftop,1960
The Lucy Show,1960
The Lucy–Desi Comedy Hour,1960
Mack & Myer for Hire,1960
Many Happy Returns (TV series),1960
The Many Loves of Dobie Gillis,1960
Margie (TV series),1960
Mayberry R.F.D.,1960
McHale's Navy,1960
McKeever and the Colonel,1960
Mickey (TV series),1960
Mr. Deeds Goes to Town (TV series),1960
Mister Ed,1960
Mister Roberts (TV series),1960
Mr. Smith Goes to Washington (TV series),1960
Mr. Terrific (TV series),1960
Mona McCluskey,1960
The Monkees (TV series),1960
The Mothers-in-Law,1960
Mrs. G. Goes to College,1960
The Munsters,1960
My Favorite Martian,1960
My Living Doll,1960
My Mother the Car,1960
My Sister Eileen (TV series),1960
My Three Sons,1960
My World and Welcome to It,1960
The New Bob Cummings Show,1960
The New Phil Silvers Show,1960
O.K. Crackerby!,1960
Occasional Wife,1960
Oh! Those Bells,1960
One Happy Family,1960
Our Man Higgins,1960
The Patty Duke Show,1960
Pete and Gladys,1960
Peter Loves Mary,1960
Petticoat Junction,1960
Pistols 'n' Petticoats,1960
Please Don't Eat the Daisies (TV series),1960
The Pruitts of Southampton,1960
The Queen & I (American TV series),1960
Rango (TV series),1960
The Real McCoys,1960
Room for One More (TV series),1960
The Rounders (TV series),1960
"Run, Buddy, Run",1960
The Second Hundred Years (TV series),1960
The Smothers Brothers Show,1960
The Tab Hunter Show,1960
Tammy (TV series),1960
The Tammy Grimes Show,1960
That Girl,1960
To Rome with Love (TV series),1960
The Tom Ewell Show,1960
"Tom, Dick, and Mary",1960
Top Cat,1960
The Tycoon (TV series),1960
The Ugliest Girl in Town,1960
Valentine's Day (TV series),1960
Wendy and Me,1960
Westinghouse Playhouse,1960
13 Queens Boulevard,1970
A.E.S. Hudson Street,1970
Adam's Rib (TV series),1970
The Addams Family (1973 TV series),1970
Alice (American TV series),1970
All in the Family,1970
All That Glitters (TV series),1970
All's Fair,1970
America 2-Night,1970
Angie (TV series),1970
Anna and the King (TV series),1970
Another Day (TV series),1970
Apple Pie (TV series),1970
Archie Bunker's Place,1970
Archie's TV Funnies,1970
Arnie (TV series),1970
The Associates (American TV series),1970
"Baby, I'm Back",1970
The Bad News Bears (TV series),1970
Ball Four (TV series),1970
Barefoot in the Park (TV series),1970
Barney Miller,1970
The Baxters,1970
Benson (TV series),1970
The Betty White Show (1977 TV series),1970
The Beverly Hillbillies,1970
Bewitched,1970
Big Eddie,1970
"Big John, Little John",1970
Billy (1979 TV series),1970
Blansky's Beauties,1970
Bob & Carol & Ted & Alice (TV series),1970
The Bob Crane Show,1970
The Bob Newhart Show,1970
The Brady Bunch,1970
The Brian Keith Show,1970
Bridget Loves Bernie,1970
Brothers and Sisters (1979 TV series),1970
Busting Loose (TV series),1970
C.P.O. Sharkey,1970
Calucci's Department,1970
Carter Country,1970
The Chicago Teddy Bears,1970
Chico and the Man,1970
Co-Ed Fever,1970
The Corner Bar,1970
The Courtship of Eddie's Father,1970
The Danny Thomas Show,1970
The Debbie Reynolds Show,1970
Delta House,1970
Detective School,1970
Diana (American TV series),1970
Diff'rent Strokes,1970
Doc (1975 TV series),1970
The Don Rickles Show,1970
The Doris Day Show,1970
Dorothy (TV series),1970
The Dumplings (TV series),1970
Dusty's Trail,1970
The Facts of Life (TV series),1970
Family Affair,1970
Fay (TV series),1970
Fernwood 2 Night,1970
Fish (American TV series),1970
Flatbush (TV series),1970
The Flying Nun,1970
Free Country (TV series),1970
Friends and Lovers (TV series),1970
Funny Face (TV series),1970
Get Smart,1970
Getting Together,1970
The Ghost & Mrs. Muir (TV series),1970
The Ghost Busters,1970
The Girl with Something Extra,1970
The Good Guys (1968 TV series),1970
Good Heavens,1970
The Good Life (1971 TV series),1970
Good Times,1970
The Governor & J.J.,1970
Grady (American TV series),1970
Green Acres,1970
Hanging In,1970
Happy Days,1970
The Harvey Korman Show,1970
"Hello, Larry",1970
Here Come the Brides,1970
Here We Go Again (1973 TV series),1970
Here's Lucy,1970
Highcliffe Manor,1970
Hizzonner,1970
Hogan's Heroes,1970
Holmes & Yoyo,1970
Hot l Baltimore,1970
House Calls (TV series),1970
"Husbands, Wives & Lovers",1970
I Dream of Jeannie,1970
In the Beginning (TV series),1970
Ivan the Terrible (TV series),1970
The Jimmy Stewart Show,1970
Joe and Sons,1970
Joe & Valerie,1970
Joe's World,1970
Just Friends (TV series),1970
The Kallikaks,1970
Karen (1975 TV series),1970
The Kids From C.A.P.E.R.,1970
The Last Resort (American TV series),1970
Laverne & Shirley,1970
The Little People (TV series),1970
Lotsa Luck,1970
The Love Boat,1970
"Loves Me, Loves Me Not (TV series)",1970
Makin' It (TV series),1970
"Mary Hartman, Mary Hartman",1970
The Mary Tyler Moore Hour,1970
The Mary Tyler Moore Show,1970
M*A*S*H (TV series),1970
Maude (TV series),1970
Mayberry R.F.D.,1970
The McLean Stevenson Show,1970
Me and the Chimp,1970
The Misadventures of Sheriff Lobo,1970
Mr. Deeds Goes to Town (TV series),1970
Mr. T and Tina,1970
The Montefuscos,1970
Mork & Mindy,1970
My Three Sons,1970
My World and Welcome to It,1970
Nancy (TV series),1970
The Nancy Walker Show,1970
Nanny and the Professor,1970
Needles and Pins (TV series),1970
The New Andy Griffith Show,1970
The New Dick Van Dyke Show,1970
A New Kind of Family,1970
The Odd Couple (1970 TV series),1970
On Our Own (1977 TV series),1970
On the Rocks (American TV series),1970
One Day at a Time (1975 TV series),1970
Operation Petticoat (TV series),1970
Out of the Blue (1979 TV series),1970
Ozzie's Girls,1970
Paper Moon (American TV series),1970
Park Street Under,1970
The Partners,1970
The Partridge Family,1970
The Paul Lynde Show,1970
Petticoat Junction,1970
Phyllis (TV series),1970
Popi (TV series),1970
The Practice (1976 TV series),1970
Quark (TV series),1970
"¿Qué Pasa, USA?",1970
Rhoda,1970
Roll Out,1970
The Roller Girls,1970
The Ropers,1970
The San Pedro Beach Bums,1970
The Sandy Duncan Show,1970
Sanford and Son,1970
Sanford Arms,1970
Shirley's World,1970
Sirota's Court,1970
Soap (TV series),1970
Struck by Lightning (TV series),1970
Sugar Time!,1970
The Super (TV series),1970
Szysznyk,1970
Tabitha (TV series),1970
Taxi (TV series),1970
The Ted Knight Show (1978 TV series),1970
Temperatures Rising,1970
The Texas Wheelers,1970
That Girl,1970
That's My Mama,1970
Thicker than Water (1973 TV series),1970
Three's Company,1970
The Tim Conway Show (1970 TV series),1970
To Rome with Love (TV series),1970
The Tony Randall Show,1970
A Touch of Grace,1970
Turnabout (TV series),1970
Viva Valdez,1970
Wait Till Your Father Gets Home,1970
The Waverly Wonders,1970
We'll Get By,1970
We've Got Each Other,1970
"Welcome Back, Kotter",1970
What's Happening!!,1970
When Things Were Rotten,1970
Where's Huddles?,1970
Who's Watching the Kids?,1970
WKRP in Cincinnati,1970
Working Stiffs (TV series),1970
A Year at the Top,1970
1st & Ten (1984 TV series),1980
9 to 5 (TV series),1980
227 (TV series),1980
A.k.a. Pablo,1980
"Ace Crawford, Private Eye",1980
Adventures in Babysitting,1980
AfterMASH,1980
ALF (TV series),1980
Alice (American TV series),1980
All Is Forgiven (TV series),1980
Amanda's,1980
Amen (TV series),1980
Angie (TV series),1980
Ann Jillian (TV series),1980
Annie McGuire (TV series),1980
Anything but Love,1980
Archie Bunker's Place,1980
The Associates (American TV series),1980
At Ease (TV series),1980
Baby Boom (American TV series),1980
Baby Makes Five,1980
The Bad News Bears (TV series),1980
Baker's Dozen (TV series),1980
Barney Miller,1980
The Baxters,1980
Benson (TV series),1980
Best of the West,1980
Beverly Hills Buntz,1980
Bosom Buddies,1980
Boys Will Be Boys (TV series),1980
The Brady Brides,1980
Brothers (1984 TV series),1980
Buffalo Bill (TV series),1980
Bustin' Loose (TV series),1980
Cadets (1988 TV pilot),1980
Cass Malloy,1980
The Cavanaughs (TV series),1980
Charles in Charge,1980
The Charmings,1980
Checking In,1980
Cheers,1980
Chicken Soup (TV series),1980
Coach (TV series),1980
Coming of Age (1988 TV series),1980
Coming to America (TV pilot),1980
Condo (TV series),1980
The Cosby Show,1980
D.C. Follies,1980
Dads (1986 TV series),1980
Day by Day (American TV series),1980
Dear John (American TV series),1980
Designing Women,1980
Diff'rent Strokes,1980
A Different World,1980
Doctor Doctor (American TV series),1980
Domestic Life (TV series),1980
"Doogie Howser, M.D.",1980
Down and Out in Beverly Hills (TV series),1980
Down to Earth (American TV series),1980
Dreams (TV series),1980
The Duck Factory,1980
Duet (TV series),1980
Easy Street (TV series),1980
Eisenhower and Lutz,1980
The Ellen Burstyn Show,1980
Empire (1984 TV series),1980
Empty Nest,1980
E/R,1980
Everything's Relative (1987 TV series),1980
Family Man (American TV series),1980
Family Ties,1980
The Famous Teddy Z,1980
Fathers and Sons (1986 TV series),1980
Filthy Rich (1982 TV series),1980
First Impressions (TV series),1980
Flo (TV series),1980
FM (American TV series),1980
Foley Square (TV series),1980
Frank's Place,1980
Free Spirit (TV series),1980
Full House,1980
Gimme a Break!,1980
Gloria (American TV series),1980
The Golden Girls,1980
Good Time Harry,1980
"Goodnight, Beantown",1980
Goodtime Girls,1980
Growing Pains,1980
Gun Shy (TV series),1980
Gung Ho (TV series),1980
Hail to the Chief (TV series),1980
Hard Knocks (1987 TV series),1980
Harper Valley PTA (TV series),1980
Harry (American TV series),1980
Have Faith,1980
Heartland (1989 TV series),1980
"Hello, Larry",1980
"Herbie, the Love Bug (TV series)",1980
The Hogan Family,1980
Homeroom (TV series),1980
House Calls (TV series),1980
I 40 Paradise,1980
I Married Dora,1980
I'm a Big Girl Now,1980
It Takes Two (American TV series),1980
It's a Living,1980
It's Garry Shandling's Show,1980
It's Not Easy,1980
Jennifer Slept Here,1980
The Jetsons,1980
Joanie Loves Chachi,1980
Joe's World,1980
Just in Time (TV series),1980
Just Our Luck,1980
Just the Ten of Us,1980
Karen's Song,1980
Kate & Allie,1980
Knight & Daye,1980
Ladies' Man (1980 TV series),1980
The Last Precinct,1980
The Last Resort (American TV series),1980
Laverne & Shirley,1980
Leo & Liz in Beverly Hills,1980
Lewis & Clark (TV series),1980
The Life and Times of Eddie Roberts,1980
Life with Lucy,1980
Live-In,1980
Living Dolls,1980
The Love Boat,1980
"Love, Sidney",1980
The Lucie Arnaz Show,1980
Madame's Place,1980
Maggie (1981 American TV series),1980
Maggie Briggs,1980
Major Dad,1980
Making the Grade (TV series),1980
Mama Malone,1980
Mama's Boy (TV series),1980
Mama's Family,1980
Marblehead Manor,1980
Married... with Children,1980
Mary (1985 TV series),1980
M*A*S*H (TV series),1980
Me and Maxx,1980
Melba (TV series),1980
The Misadventures of Sheriff Lobo,1980
Mr. Belvedere,1980
Mr. Merlin,1980
Mr. President (TV series),1980
Mr. Smith (TV series),1980
Mr. Sunshine (1986 TV series),1980
Mork & Mindy,1980
The Munsters Today,1980
Murphy Brown,1980
My Sister Sam,1980
My Two Dads,1980
Nearly Departed,1980
The New Archies,1980
The New Gidget,1980
A New Kind of Family,1980
The New Leave It to Beaver,1980
New Monkees,1980
The New Odd Couple,1980
Newhart,1980
Night Court,1980
"No Soap, Radio (TV series)",1980
Nobody's Perfect (American TV series),1980
Nothing in Common (TV series),1980
The Nutt House,1980
Off the Rack,1980
Oh Madeline,1980
Once a Hero,1980
One Big Family (TV series),1980
One Day at a Time (1975 TV series),1980
One in a Million (American TV series),1980
One of the Boys (1982 TV series),1980
One of the Boys (1989 TV series),1980
Open All Night (TV series),1980
Open House (1989 TV series),1980
Park Place (TV series),1980
The People Next Door (American TV series),1980
Perfect Strangers (TV series),1980
Phyl & Mikhy,1980
Police Squad!,1980
Private Benjamin (TV series),1980
Punky Brewster,1980
The Pursuit of Happiness (1987 TV series),1980
"¿Qué Pasa, USA?",1980
